# Daily weather, Berlin-Tempelhof, grid point 52.47 N 13.40 E (Open-Meteo Historical Weather API, ERA5 / ERA5-Land reanalysis),
#   https://archive-api.open-meteo.com/v1/archive?latitude=52.47&longitude=13.40&daily=temperature_2m_max,precipitation_sum&timezone=Europe%2FBerlin,
#   CC BY 4.0 (Open-Meteo, Copernicus ERA5), retrieved 2026-09-25.
# tmax = daily maximum temperature 2 m in deg C, prcp = daily precipitation sum in mm.
# Gridded reanalysis, not a station series such as the Tempelhof (Meteostat) files of the VSP Berlin production scenario.
# Mean per calendar day over 1996-2025 (data up to 2025-08-31). EpisimUtils uses it for the days after the
# last date of berlin-weather-2025-26.csv; monthDay is month-day without leading zeros, as EpisimUtils expects.
monthDay,tmax,prcp
8-30,21.58,2.13
8-31,21.76,1.52
9-1,21.36,0.78
9-2,21.02,1.16
9-3,21.60,2.30
9-4,21.70,1.66
9-5,21.63,1.27
9-6,21.30,1.28
9-7,21.62,1.80
9-8,21.66,1.48
9-9,21.19,2.44
9-10,21.56,1.53
9-11,21.20,1.83
9-12,20.90,1.81
9-13,19.29,2.07
9-14,19.55,1.19
9-15,19.69,0.93
9-16,19.22,1.70
9-17,19.23,0.93
9-18,18.72,2.30
9-19,18.31,0.46
9-20,18.61,0.87
9-21,19.03,0.70
9-22,18.59,0.83
9-23,18.03,2.38
9-24,17.86,1.40
9-25,17.64,1.87
9-26,17.84,2.66
9-27,17.72,2.34
9-28,17.51,1.54
9-29,17.47,2.17
9-30,16.89,0.92
10-1,16.43,2.17
10-2,16.12,2.31
10-3,16.71,1.88
10-4,15.99,1.65
10-5,15.56,2.13
10-6,15.62,1.44
10-7,15.26,1.98
10-8,15.01,2.39
10-9,14.68,1.70
10-10,14.36,1.79
10-11,14.17,1.66
10-12,14.08,1.99
10-13,14.14,0.70
10-14,14.07,1.68
10-15,13.63,1.44
10-16,13.24,2.03
10-17,14.12,0.96
10-18,13.53,1.16
10-19,12.99,0.82
10-20,12.80,0.76
10-21,13.33,1.80
10-22,13.04,1.88
10-23,13.08,1.14
10-24,12.65,1.19
10-25,13.00,1.83
10-26,12.78,1.24
10-27,12.49,1.84
10-28,12.27,2.17
10-29,11.60,1.58
10-30,11.78,2.31
10-31,12.02,0.58
11-1,11.32,1.51
11-2,11.46,2.42
11-3,10.88,1.40
11-4,10.40,2.74
11-5,10.53,1.82
11-6,10.13,2.00
11-7,10.34,1.48
11-8,9.74,1.12
11-9,9.07,2.46
11-10,8.62,0.53
11-11,8.21,1.01
11-12,8.46,0.56
11-13,8.33,1.20
11-14,8.22,0.57
11-15,8.12,1.51
11-16,7.76,1.59
11-17,7.42,2.29
11-18,7.47,1.60
11-19,7.40,2.40
11-20,6.36,2.00
11-21,5.86,1.21
11-22,5.87,1.48
11-23,6.06,1.06
11-24,6.11,1.33
11-25,5.78,0.69
11-26,5.62,0.63
11-27,5.31,0.79
11-28,5.18,1.21
11-29,5.15,1.58
11-30,4.74,1.65
12-1,4.52,1.54
12-2,4.32,1.48
12-3,4.00,1.24
12-4,4.45,0.84
12-5,4.65,1.24
12-6,5.00,1.56
12-7,4.87,1.64
12-8,4.55,1.24
12-9,4.23,1.41
12-10,3.59,1.48
12-11,3.74,2.57
12-12,4.56,2.02
12-13,4.30,1.97
12-14,3.52,1.68
12-15,4.07,1.56
12-16,3.81,1.75
12-17,3.77,1.01
12-18,3.97,0.86
12-19,3.73,1.73
12-20,3.52,0.95
12-21,3.47,2.33
12-22,4.00,1.61
12-23,4.06,2.18
12-24,4.77,2.71
12-25,5.41,2.10
12-26,4.39,1.97
12-27,3.80,0.97
12-28,3.67,0.68
12-29,3.47,1.43
12-30,3.33,1.21
12-31,4.00,1.14
