# Daily weather, Cologne grid point 50.94 N 6.96 E (Open-Meteo Historical Weather API, ERA5 / ERA5-Land reanalysis),
#   https://archive-api.open-meteo.com/v1/archive?latitude=50.94&longitude=6.96&daily=temperature_2m_max,precipitation_sum&timezone=Europe%2FBerlin,
#   CC BY 4.0 (Open-Meteo, Copernicus ERA5), retrieved 2026-09-25.
# tmax = daily maximum temperature 2 m in deg C, prcp = daily precipitation sum in mm.
# Gridded reanalysis, not a station series such as the Koeln-Bonn station.
# Mean per calendar day over 1996-2025 (data up to 2025-08-31). EpisimUtils uses it for the days after the
# last date of cologne-weather-2025-26.csv; monthDay is month-day without leading zeros, as EpisimUtils expects.
monthDay,tmax,prcp
8-29,21.12,3.17
8-30,21.19,1.95
8-31,21.39,1.42
9-1,20.52,2.12
9-2,21.20,1.82
9-3,21.03,2.62
9-4,21.41,2.30
9-5,21.94,1.16
9-6,21.54,2.41
9-7,20.93,1.93
9-8,20.90,3.76
9-9,21.43,2.99
9-10,20.67,3.26
9-11,20.90,2.67
9-12,20.58,2.81
9-13,19.40,2.04
9-14,19.40,2.87
9-15,19.58,2.99
9-16,19.48,2.82
9-17,18.66,2.01
9-18,18.83,2.64
9-19,18.98,1.25
9-20,18.92,1.83
9-21,19.02,1.36
9-22,19.09,2.42
9-23,18.30,3.36
9-24,18.27,2.08
9-25,17.91,1.67
9-26,17.99,2.71
9-27,17.89,3.46
9-28,17.64,1.31
9-29,17.79,2.78
9-30,17.03,2.76
10-1,17.50,5.53
10-2,17.08,2.48
10-3,16.61,2.83
10-4,16.26,1.72
10-5,16.00,2.95
10-6,15.91,5.13
10-7,15.58,2.32
10-8,15.39,3.87
10-9,15.72,2.90
10-10,15.97,3.47
10-11,15.33,1.71
10-12,15.05,2.59
10-13,15.62,1.27
10-14,15.25,1.73
10-15,14.90,2.09
10-16,14.51,1.72
10-17,14.71,1.46
10-18,14.51,1.72
10-19,14.85,2.90
10-20,14.04,3.18
10-21,14.78,3.31
10-22,14.07,1.43
10-23,14.17,2.57
10-24,13.84,2.57
10-25,14.02,2.42
10-26,13.94,1.79
10-27,13.34,3.22
10-28,13.37,2.33
10-29,13.00,2.13
10-30,13.07,2.45
10-31,13.13,1.68
11-1,12.96,3.22
11-2,12.75,4.19
11-3,12.18,2.83
11-4,12.01,3.89
11-5,11.16,2.59
11-6,11.49,2.31
11-7,10.91,3.29
11-8,10.73,2.89
11-9,10.83,3.63
11-10,9.97,4.11
11-11,9.68,3.60
11-12,9.91,2.22
11-13,10.18,4.23
11-14,9.33,1.49
11-15,9.19,2.30
11-16,8.80,2.85
11-17,8.97,2.84
11-18,8.63,4.24
11-19,8.43,3.49
11-20,7.84,1.94
11-21,7.96,1.53
11-22,7.84,1.96
11-23,8.31,2.68
11-24,8.31,2.18
11-25,8.02,2.63
11-26,7.40,2.04
11-27,7.19,3.36
11-28,7.11,2.13
11-29,6.67,2.89
11-30,6.58,2.35
12-1,6.86,2.99
12-2,6.37,2.69
12-3,6.20,3.01
12-4,6.09,2.70
12-5,6.44,3.34
12-6,6.56,3.04
12-7,6.42,3.52
12-8,6.40,1.79
12-9,6.00,2.52
12-10,5.54,3.46
12-11,5.62,3.61
12-12,6.16,3.45
12-13,5.78,3.13
12-14,5.69,2.12
12-15,5.73,1.59
12-16,5.79,3.63
12-17,5.66,1.85
12-18,5.37,1.70
12-19,6.51,3.52
12-20,5.74,2.33
12-21,5.73,3.35
12-22,6.36,5.08
12-23,6.71,4.27
12-24,7.27,3.29
12-25,7.01,3.99
12-26,5.96,2.49
12-27,5.63,3.21
12-28,5.28,3.00
12-29,5.23,2.64
12-30,6.10,3.34
12-31,6.31,2.70
